identifier1	identifier2	annotator	judgment	comment	lemma	round
bib15760690_18950306_145050_37_0003_alto.xml-222-5	bib11653828_18290915_144028_213_0003_alto.xml-13-25	annotator2	4.0	 	ledning	3
bib19277277_18950715_147683_189_0005_alto.xml-1-5	bib19227291_18230226_145289_9_0002_alto.xml-3-106	annotator2	1.0	 	ledning	3
bib19227291_18230226_145289_9_0002_alto.xml-3-106	bib15873371_18950723_145112_197_0002_alto.xml-185-14	annotator2	1.0	 	ledning	3
bib15650837_18951129_146391_279_0002_alto.xml-2-12	bib11653811_19031209_145317_191_0002_alto.xml-161-13	annotator2	4.0	 	ledning	3
bib11653823_18260824_144010_195_0004_alto.xml-13-15	bib11653838_19010208_147024_6_0001_alto.xml-59-16	annotator2	1.0	 	ledning	3
bib11653823_18260824_144010_195_0004_alto.xml-13-15	bib19277277_18951112_147683_309_0003_alto.xml-65-27	annotator2	1.0	 	ledning	3
bib19277277_18951221_147683_348_0005_alto.xml-10-204	bib11653828_18210212_144028_35_0005_alto.xml-13-23	annotator2	3.0	 	ledning	3
bib19349359_18950611_148383_68_0002_alto.xml-65-17	bib11653811_19020416_145317_56_0002_alto.xml-113-2	annotator2	2.0	 	ledning	3
bib11653811_19031209_145317_191_0002_alto.xml-161-13	bib11653811_19010726_145317_113_0003_alto.xml-41-34	annotator2	4.0	 	ledning	3
bib11653790_18951129_145648_49_0005_alto.xml-93-27	bib11653811_19031024_145317_165_0002_alto.xml-142-13	annotator3	1.0	 	ledning	3
bib11653811_19031024_145317_165_0002_alto.xml-142-13	bib19277277_18951221_147683_348_0005_alto.xml-10-204	annotator3	1.0	 	ledning	3
bib11653790_18951129_145648_49_0005_alto.xml-93-27	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator3	3.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator3	4.0	 	ledning	3
bib13506739_18280102_144030_1_0002_alto.xml-3-12	bib19227462_18950221_147640_44_0002_alto.xml-172-16	annotator3	4.0	 	ledning	3
bib19277277_18951009_147683_275_0001_alto.xml-35-7	bib15873371_18950723_145112_197_0002_alto.xml-185-14	annotator3	3.0	 	ledning	3
bib11653811_19031024_145317_165_0002_alto.xml-142-13	bib19277277_18951112_147683_309_0003_alto.xml-65-27	annotator3	3.0	 	ledning	3
bib11653790_18951129_145648_49_0005_alto.xml-93-27	bib19227462_18950725_147640_170_0004_alto.xml-67-9	annotator3	3.0	 	ledning	3
bib11653828_18210212_144028_35_0005_alto.xml-13-23	bib15650837_18951129_146391_279_0002_alto.xml-2-12	annotator3	1.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib15650837_18951129_146391_279_0002_alto.xml-2-12	annotator3	4.0	 	ledning	3
bib11653828_18220520_144028_115_0003_alto.xml-1-59	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator3	4.0	 	ledning	3
bib19223423_18050608_145063_46_0003_alto.xml-1-181	bib11653828_18160111_144028_8_0003_alto.xml-7-28	annotator3	3.0	 	ledning	3
bib19277277_18950217_147683_47_0003_alto.xml-208-62	bib19277277_18950823_147683_228_0005_alto.xml-168-27	annotator3	3.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib11653811_19031024_145317_165_0002_alto.xml-142-13	annotator3	3.0	 	ledning	3
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib11653838_19010208_147024_6_0001_alto.xml-59-16	annotator3	3.0	 	ledning	3
bib19227462_18950725_147640_170_0004_alto.xml-67-9	bib11653811_19031209_145317_191_0002_alto.xml-161-13	annotator3	3.0	 	ledning	3
bib15650837_18951129_146391_279_0002_alto.xml-2-12	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator3	3.0	 	ledning	3
bib11653811_18950713_145317_106_0001_alto.xml-38-40	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator3	3.0	 	ledning	3
bib11653828_18220520_144028_115_0003_alto.xml-1-59	bib19225772_18160214_148004_19_0002_alto.xml-7-7	annotator3	3.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib15650837_18951129_146391_279_0002_alto.xml-2-12	annotator3	3.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator3	3.0	 	ledning	3
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib11653828_18210212_144028_35_0005_alto.xml-13-23	annotator3	1.0	 	ledning	3
bib11653811_19010726_145317_113_0003_alto.xml-41-34	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator3	3.0	 	ledning	3
bib19277277_18950823_147683_228_0005_alto.xml-168-27	bib19277277_18241231_147682_305_0001_alto.xml-0-138	annotator3	4.0	 	ledning	3
bib11653811_18950713_145317_106_0001_alto.xml-38-40	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator3	3.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib19227462_18950725_147640_170_0004_alto.xml-67-9	annotator3	3.0	 	ledning	3
bib11653828_18290625_144028_143_0002_alto.xml-16-16	bib15760600_18950725_146401_87_0002_alto.xml-182-16	annotator3	4.0	 	ledning	3
bib11653823_18260824_144010_195_0004_alto.xml-13-15	bib11653811_19010726_145317_113_0003_alto.xml-41-34	annotator3	0.0	bad OCR -> different lemmas	ledning	3
bib11653823_18260824_144010_195_0004_alto.xml-13-15	bib19277277_18951112_147683_309_0003_alto.xml-65-27	annotator3	0.0	bad OCR -> different lemmas	ledning	3
bib19277277_18950715_147683_189_0005_alto.xml-1-5	bib19227291_18230226_145289_9_0002_alto.xml-3-106	annotator3	4.0	 	ledning	3
bib15650837_18951129_146391_279_0002_alto.xml-2-12	bib11653823_18260824_144010_195_0004_alto.xml-13-15	annotator4	0.0	 	ledning	3
bib11653823_18260824_144010_195_0004_alto.xml-13-15	bib11653838_19010208_147024_6_0001_alto.xml-59-16	annotator4	1.0	 	ledning	3
bib15650837_18951010_146391_236_0002_alto.xml-123-233	bib11653828_18260814_144028_186_0003_alto.xml-9-56	annotator4	0.0	 	ledning	3
bib13506739_18120511_144030_107_0002_alto.xml-15-12	bib11653830_18960316_146968_22_0003_alto.xml-108-12	annotator4	4.0	 	ledning	3
bib11653830_18960903_146968_71_0003_alto.xml-65-9	bib19225758_18950517_144022_114_0002_alto.xml-185-10	annotator4	4.0	 	ledning	3
bib19277277_18951009_147683_275_0001_alto.xml-35-7	bib11653811_19010726_145317_113_0003_alto.xml-41-34	annotator4	1.0	 	ledning	3
bib19223423_18050608_145063_46_0003_alto.xml-1-181	bib11653828_18160111_144028_8_0003_alto.xml-7-28	annotator4	0.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib15650837_18951129_146391_279_0002_alto.xml-2-12	annotator4	3.0	 	ledning	3
bib19227462_18950725_147640_170_0004_alto.xml-67-9	bib11653811_19031024_145317_165_0002_alto.xml-142-13	annotator4	3.0	 	ledning	3
bib15650837_18951129_146391_279_0002_alto.xml-2-12	bib11653811_19031209_145317_191_0002_alto.xml-161-13	annotator4	3.0	 	ledning	3
bib19277277_18300605_147682_127_0004_alto.xml-78-7	bib19225758_18951004_144022_231_0002_alto.xml-262-29	annotator4	2.0	 	ledning	3
bib19277277_18950823_147683_228_0005_alto.xml-168-27	bib19277277_18241231_147682_305_0001_alto.xml-0-138	annotator4	0.0	 	ledning	3
bib15760690_18950306_145050_37_0003_alto.xml-222-5	bib11653811_19020416_145317_56_0002_alto.xml-113-2	annotator4	1.0	 	ledning	3
bib19227462_18950725_147640_170_0004_alto.xml-67-9	bib15975087_18950503_145596_67_0002_alto.xml-141-2	annotator4	1.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib19277277_18950715_147683_189_0005_alto.xml-1-5	annotator4	1.0	 	ledning	3
bib19225758_18951004_144022_231_0002_alto.xml-262-29	bib19277277_18300301_147682_49_0001_alto.xml-21-10	annotator4	3.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib15650837_18951129_146391_279_0002_alto.xml-2-12	annotator4	4.0	 	ledning	3
bib19227291_18230226_145289_9_0002_alto.xml-3-106	bib11653811_19031024_145317_165_0002_alto.xml-142-13	annotator4	1.0	 	ledning	3
bib11653830_18971230_146968_104_0003_alto.xml-74-23	bib11653811_19021003_145317_151_0003_alto.xml-32-9	annotator4	4.0	 	ledning	3
bib11653811_18950713_145317_106_0001_alto.xml-38-40	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator4	3.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib19227291_18230226_145289_9_0002_alto.xml-3-106	annotator4	1.0	 	ledning	3
bib13506739_18280102_144030_1_0002_alto.xml-3-12	bib19227462_18950221_147640_44_0002_alto.xml-172-16	annotator4	4.0	 	ledning	3
bib19227291_18230226_145289_9_0002_alto.xml-3-106	bib19277277_18951112_147683_309_0003_alto.xml-65-27	annotator4	1.0	 	ledning	3
bib11653828_18220520_144028_115_0003_alto.xml-1-59	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator4	4.0	 	ledning	3
bib13506739_18290423_144030_92_0005_alto.xml-1-19	bib11653825_18121214_145134_146_0002_alto.xml-5-14	annotator4	2.0	 	ledning	3
bib19277277_18951112_147683_309_0003_alto.xml-65-27	bib19277277_18950715_147683_189_0005_alto.xml-1-5	annotator4	1.0	 	ledning	3
bib11653806_18080301_145120_23_0002_alto.xml-0-23	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator4	4.0	 	ledning	3
bib19225758_18951004_144022_231_0002_alto.xml-262-29	bib11653792_18121031_146919_44_0001_alto.xml-1-1	annotator4	3.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib11653823_18260824_144010_195_0004_alto.xml-13-15	annotator4	0.0	 	ledning	3
bib15760690_18950306_145050_37_0003_alto.xml-222-5	bib11653828_18290915_144028_213_0003_alto.xml-13-25	annotator4	4.0	 	ledning	3
bib15975087_18950503_145596_67_0002_alto.xml-141-2	bib11653828_18261215_144028_292_0002_alto.xml-12-45	annotator4	1.0	 	ledning	3
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib11653790_18951129_145648_49_0005_alto.xml-93-27	annotator4	4.0	 	ledning	3
bib11653811_19031024_145317_165_0002_alto.xml-142-13	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator4	4.0	 	ledning	3
bib19277277_18951112_147683_309_0003_alto.xml-65-27	bib11653811_19010726_145317_113_0003_alto.xml-41-34	annotator4	3.0	 	ledning	3
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib19277277_18950715_147683_189_0005_alto.xml-1-5	annotator0	1.0	 	ledning	3
bib11653838_19010208_147024_6_0001_alto.xml-59-16	bib15760690_18950622_145050_94_0003_alto.xml-65-8	annotator0	1.0	 	ledning	3
bib11653811_19031024_145317_165_0002_alto.xml-142-13	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator0	4.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib11653811_19031024_145317_165_0002_alto.xml-142-13	annotator0	4.0	 	ledning	3
bib11653811_18981230_145317_201_0002_alto.xml-16-3	bib11653828_17930529_144028_119_0001_alto.xml-0-0	annotator0	3.0	 	ledning	3
bib11653811_19010726_145317_113_0003_alto.xml-41-34	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator0	3.0	 	ledning	3
bib11653828_18220920_144028_219_0004_alto.xml-2-16	bib11653811_19021003_145317_151_0003_alto.xml-32-9	annotator0	4.0	 	ledning	3
bib19277277_18951112_147683_309_0003_alto.xml-65-27	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator0	4.0	 	ledning	3
bib11653811_19030506_145317_69_0003_alto.xml-34-10	bib11653811_19021003_145317_151_0003_alto.xml-32-9	annotator0	4.0	 	ledning	3
bib11653811_19010726_145317_113_0003_alto.xml-41-34	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator0	3.0	 	ledning	3
bib13506739_18290706_144030_152_0001_alto.xml-3-18	bib19223423_18050608_145063_46_0003_alto.xml-1-181	annotator0	4.0	 	ledning	3
bib13506739_18290423_144030_92_0005_alto.xml-1-19	bib11653825_18121214_145134_146_0002_alto.xml-5-14	annotator0	3.0	 	ledning	3
bib15650837_18951129_146391_279_0002_alto.xml-2-12	bib11653838_19010208_147024_6_0001_alto.xml-59-16	annotator0	3.0	 	ledning	3
bib19227291_18230226_145289_9_0002_alto.xml-3-106	bib15873371_18950723_145112_197_0002_alto.xml-185-14	annotator0	1.0	 	ledning	3
bib19277277_18951221_147683_348_0005_alto.xml-10-204	bib11653790_18951129_145648_49_0005_alto.xml-93-27	annotator0	1.0	 	ledning	3
bib19277277_18951112_147683_309_0003_alto.xml-65-27	bib19277277_18950715_147683_189_0005_alto.xml-1-5	annotator0	1.0	 	ledning	3
bib11653811_19010726_145317_113_0003_alto.xml-41-34	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator0	3.0	 	ledning	3
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib11653838_19010208_147024_6_0001_alto.xml-59-16	annotator0	3.0	 	ledning	3
bib19227462_18951112_147640_264_0001_alto.xml-52-6	bib19227462_18950102_147640_1_0003_alto.xml-33-24	annotator0	4.0	 	ledning	3
bib11653838_19010208_147024_6_0001_alto.xml-59-16	bib11653790_18951129_145648_49_0005_alto.xml-93-27	annotator0	3.0	 	ledning	3
bib11653838_19010208_147024_6_0001_alto.xml-59-16	bib19277277_18951009_147683_275_0001_alto.xml-35-7	annotator0	3.0	 	ledning	3
bib11653811_19031024_145317_165_0002_alto.xml-142-13	bib11653811_18960415_145317_56_0001_alto.xml-49-23	annotator0	4.0	 	ledning	3
bib11653806_18080301_145120_23_0002_alto.xml-0-23	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator0	0.0	OCR-error (sent 1 is probably “anledning”)	ledning	3
bib19277277_18950715_147683_189_0005_alto.xml-1-5	bib11653790_18951129_145648_49_0005_alto.xml-93-27	annotator0	1.0	 	ledning	3
bib11653830_18971230_146968_104_0003_alto.xml-74-23	bib11653811_19021003_145317_151_0003_alto.xml-32-9	annotator0	4.0	 	ledning	3
bib19277277_18951009_147683_275_0001_alto.xml-35-7	bib11653811_19010726_145317_113_0003_alto.xml-41-34	annotator0	3.0	 	ledning	3
bib11653828_18290625_144028_143_0002_alto.xml-16-16	bib15760600_18950725_146401_87_0002_alto.xml-182-16	annotator0	4.0	 	ledning	3
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib19227462_18951112_147640_264_0001_alto.xml-52-6	annotator0	4.0	 	ledning	3
bib19227462_18950102_147640_1_0003_alto.xml-33-24	bib19277277_18951221_147683_348_0005_alto.xml-10-204	annotator0	1.0	 	ledning	3
bib19277277_18951221_147683_348_0005_alto.xml-10-204	bib11653828_18210212_144028_35_0005_alto.xml-13-23	annotator0	4.0	 	ledning	3
bib19225758_18951004_144022_231_0002_alto.xml-262-29	bib19277277_18300301_147682_49_0001_alto.xml-21-10	annotator0	3.0	 	ledning	3
bib13506739_18171202_144030_279_0011_alto.xml-0-5	bib11653828_18260814_144028_186_0003_alto.xml-9-56	annotator2	4.0	 	ledning	2
bib11653811_18950223_145317_31_0002_alto.xml-12-7	bib19225758_18950724_144022_169_0002_alto.xml-112-6	annotator2	4.0	 	ledning	2
bib11653811_19020505_145317_67_0002_alto.xml-65-2	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	4.0	 	ledning	2
bib13506739_18280321_144030_69_0004_alto.xml-15-29	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib13506739_18250510_144030_106_0001_alto.xml-24-11	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib13506739_18120922_144030_220_0004_alto.xml-8-10	bib19225792_18200408_147359_13_0008_alto.xml-0-59	annotator2	4.0	 	ledning	2
bib19227462_18950321_147640_68_0003_alto.xml-43-24	bib19225758_18950724_144022_169_0002_alto.xml-112-6	annotator2	3.0	 	ledning	2
bib15873371_18950723_145112_197_0002_alto.xml-185-14	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib11653792_18121031_146919_44_0001_alto.xml-1-1	bib19225758_18951004_144022_231_0002_alto.xml-262-29	annotator2	2.0	 	ledning	2
bib11653828_18170912_144028_211_0001_alto.xml-0-42	bib13506739_18290423_144030_92_0005_alto.xml-1-19	annotator2	3.0	 	ledning	2
bib19277277_18951217_147683_344_0004_alto.xml-127-15	bib15650837_18950306_146391_55_0001_alto.xml-72-28	annotator2	1.0	 	ledning	2
bib19225772_18271120_148004_135_0001_alto.xml-6-3	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib19227462_18950831_147640_202_0003_alto.xml-13-3	bib19227462_18950221_147640_44_0002_alto.xml-172-16	annotator2	4.0	 	ledning	2
bib11653823_18280129_144010_24_0001_alto.xml-1-32	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib13506739_18280102_144030_1_0002_alto.xml-3-12	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib19277277_18280913_147682_214_0004_alto.xml-21-15	bib19223423_18050608_145063_46_0003_alto.xml-1-181	annotator2	1.0	 	ledning	2
bib19227291_18300324_145289_12_0007_alto.xml-13-47	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653811_18950713_145317_106_0001_alto.xml-38-40	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator2	2.0	 	ledning	2
bib19277301_18961019_145146_87_0002_alto.xml-88-8	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653823_18280410_144010_83_0002_alto.xml-3-15	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653811_18970827_145317_131_0003_alto.xml-3-42	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib19277277_18300301_147682_49_0001_alto.xml-21-10	bib19225758_18951004_144022_231_0002_alto.xml-262-29	annotator2	2.0	 	ledning	2
bib11653828_18200818_144028_190_0004_alto.xml-2-13	bib11653828_18220920_144028_219_0004_alto.xml-2-16	annotator2	4.0	 	ledning	2
bib15761570_18950912_146176_150_0003_alto.xml-88-26	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator2	4.0	 	ledning	2
bib11653828_18270109_144028_6_0002_alto.xml-11-102	bib11653828_18220920_144028_219_0004_alto.xml-2-16	annotator2	3.0	 	ledning	2
bib11653828_18260325_144028_69_0004_alto.xml-4-2	bib19227462_18950501_147640_100_0003_alto.xml-208-36	annotator2	3.0	 	ledning	2
bib11653825_18050326_145134_36_0002_alto.xml-15-11	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19223423_18290131_145063_9_0001_alto.xml-8-32	bib19227462_18950221_147640_44_0002_alto.xml-172-16	annotator2	4.0	 	ledning	2
bib11653811_18981230_145317_201_0002_alto.xml-16-3	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19227462_18950725_147640_170_0004_alto.xml-67-9	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib11653828_18210212_144028_35_0005_alto.xml-13-23	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib15650837_18300515_146391_39_0002_alto.xml-18-4	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib11653811_18960415_145317_56_0001_alto.xml-49-23	bib13506739_18290706_144030_152_0001_alto.xml-3-18	annotator2	1.0	 	ledning	2
bib11653830_18950826_146968_97_0002_alto.xml-36-11	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653828_17930529_144028_119_0001_alto.xml-0-0	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib11653828_18220920_144028_219_0004_alto.xml-2-16	bib11653828_18260325_144028_69_0004_alto.xml-4-2	annotator2	3.0	 	ledning	2
bib11653790_18950308_145648_11_0005_alto.xml-19-4	bib19277277_18241231_147682_305_0001_alto.xml-0-138	annotator2	4.0	 	ledning	2
bib19349359_18950611_148383_68_0002_alto.xml-65-17	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653823_18280129_144010_24_0001_alto.xml-1-32	bib11653823_18230902_144010_202_0001_alto.xml-1-21	annotator2	4.0	 	ledning	2
bib15873936_18960331_147385_38_0002_alto.xml-135-10	bib19225792_18200408_147359_13_0008_alto.xml-0-59	annotator2	4.0	 	ledning	2
bib11653838_19010208_147024_6_0001_alto.xml-59-16	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19277277_18280913_147682_214_0004_alto.xml-21-15	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	4.0	 	ledning	2
bib11653828_18240126_144028_20_0002_alto.xml-7-31	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib11653811_19031209_145317_191_0002_alto.xml-161-13	bib19227462_18950221_147640_44_0002_alto.xml-172-16	annotator2	1.0	 	ledning	2
bib19277277_18951221_147683_348_0005_alto.xml-10-204	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib13506739_18251231_144030_304_0003_alto.xml-14-0	bib11653823_18230902_144010_202_0001_alto.xml-1-21	annotator2	4.0	 	ledning	2
bib11653790_19010402_145648_26_0003_alto.xml-164-26	bib13506739_18120511_144030_107_0002_alto.xml-15-12	annotator2	3.0	 	ledning	2
bib19225772_18160214_148004_19_0002_alto.xml-7-7	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	2.0	 	ledning	2
bib15760600_18951008_146401_119_0002_alto.xml-149-10	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib11653828_18290919_144028_217_0002_alto.xml-1-6	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib15975087_18950503_145596_67_0002_alto.xml-141-2	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib11653828_18260407_144028_79_0004_alto.xml-15-10	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19277349_18950608_147403_75_0002_alto.xml-21-3	bib19225792_18200408_147359_13_0008_alto.xml-0-59	annotator2	3.0	 	ledning	2
bib11653811_19030506_145317_69_0003_alto.xml-34-10	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib13506739_18040718_144030_164_0001_alto.xml-3-6	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19227462_18950321_147640_68_0003_alto.xml-43-24	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib15650837_18951010_146391_236_0002_alto.xml-123-233	bib11653828_18260814_144028_186_0003_alto.xml-9-56	annotator2	2.0	 	ledning	2
bib11653811_19021003_145317_151_0003_alto.xml-32-9	bib11653828_18220920_144028_219_0004_alto.xml-2-16	annotator2	2.0	 	ledning	2
bib11653828_18220520_144028_115_0003_alto.xml-1-59	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib11653830_18960316_146968_22_0003_alto.xml-108-12	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19225758_18951018_144022_243_0003_alto.xml-98-11	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	2.0	 	ledning	2
bib11653811_18980610_145317_87_0004_alto.xml-114-47	bib19225792_18200408_147359_13_0008_alto.xml-0-59	annotator2	3.0	 	ledning	2
bib11653806_18130430_145120_47_0001_alto.xml-1-43	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib15873936_18961124_147385_137_0002_alto.xml-68-1	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib11653790_18951129_145648_49_0005_alto.xml-93-27	bib19225758_18951004_144022_231_0002_alto.xml-262-29	annotator2	1.0	 	ledning	2
bib11653790_18950308_145648_11_0005_alto.xml-19-4	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19277277_18950823_147683_228_0005_alto.xml-168-27	bib19277277_18241231_147682_305_0001_alto.xml-0-138	annotator2	2.0	 	ledning	2
bib15650837_18951010_146391_236_0002_alto.xml-123-233	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
bib19277277_18300222_147682_43_0001_alto.xml-42-19	bib11653828_18230626_144028_144_0004_alto.xml-5-22	annotator2	1.0	 	ledning	2
bib13506739_18170821_144030_192_0011_alto.xml-10-28	bib19225792_18200408_147359_13_0008_alto.xml-0-59	annotator2	4.0	 	ledning	2
bib11653828_18301123_144028_272_0001_alto.xml-0-11	bib19277277_18240929_147682_226_0004_alto.xml-22-19	annotator2	1.0	 	ledning	2
