lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bolagsstämma		1828	1	bib19223423_18280611_145063_47_0003_alto.xml-1-12	 	itJQGCCO ■ Till utväljande af Ombud och Revisor vid in » stundande Bolagsstämma med Intressenterne i Landskrona Skepps-Varf, hvilken ar utsatt att hållas derstädes den 17 nästk.	67:79	0:177	itJQGCCO ■ Till utväljande af Ombud och Revisor vid in » stundande Bolagsstämma med Intressenterne i Landskrona Skepps-Varf , hvilken ar utsatt att hållas derstädes den 17 nästk.	12	0:28	itjqgcco $ till utvälja af ombud och revisor vid in $ stunda bolagsstämma med intressent i landskrona $ $ hvilken ar $ att hålla derstädes den 17 $
bolagsstämma		1807	1	bib11653806_18070714_145120_75_0007_alto.xml-7-72	 	Emedan nu inera igenom siutad Rättegång emot Herr Notarien Fredric Ionsson, desi med Nasasjdlls SilfwerwerkS Bolag ingångne AverstonsCvntract blifwit hafwit, och Lotttzgarne dcrigcnon » uiiostuprit, att efter äsystan och påstående, såsom Bolagsman answara för de Pcnninge-summor af omkring 90,000 R:d., med hwilka bemälte Notarie, igenom tagne Inteckningar och Pantförstrifningar af Silswerwcrket detsamma belastat: sä erinras Lottagarne, att wid deli utaf Länets Bergmästare utsatte Bolagsstämman deli 9 October detta år wara beredda att betala ben kostnad som till samma Rättegång algatt, och af undcrsteifwcli blifwit sörstuten; med tillkännagifwande det jag fordenstull som pant, hwarken wid BolagS-stämman, eller deli 12 derpå följande BergS-Ting, kan för au - a Lottägare Staga fullmäktigskap, utom instämda målet emot Notarien Ionsson att fullgöra urtima TingS-RättenS laga kraftmundne Dom, samt återställa Brukets borttagne handlingar.	484:497	0:943	Emedan nu inera igenom siutad Rättegång emot Herr Notarien Fredric Ionsson , desi med Nasasjdlls SilfwerwerkS Bolag ingångne AverstonsCvntract blifwit hafwit , och Lotttzgarne dcrigcnon » uiiostuprit , att efter äsystan och påstående , såsom Bolagsman answara för de Pcnninge-summor af omkring 90,000 R:d . , med hwilka bemälte Notarie , igenom tagne Inteckningar och Pantförstrifningar af Silswerwcrket detsamma belastat : sä erinras Lottagarne , att wid deli utaf Länets Bergmästare utsatte Bolagsstämman deli 9 October detta år wara beredda att betala ben kostnad som till samma Rättegång algatt , och af undcrsteifwcli blifwit sörstuten ; med tillkännagifwande det jag fordenstull som pant , hwarken wid BolagS-stämman , eller deli 12 derpå följande BergS-Ting , kan för au - a Lottägare Staga fullmäktigskap , utom instämda målet emot Notarien Ionsson att fullgöra urtima TingS-RättenS laga kraftmundne Dom , samt återställa Brukets borttagne handlingar .	72	0:144	emedan nu inera igenom siutad rättegång emot herr notarie fredric ionsson $ desi med nasasjdlls silfwerwerks bolag $ averstonscvntract blifwit hafwit $ och lotttzgarne dcrigcnon $ uiiostuprit $ att efter äsystan och påstående $ såsom bolagsman answara för en $ af omkring $ $ $ $ med hwilka bemälte notarie $ igenom tagen inteckning och pantförstrifningar af silswerwcrket densamma belasta $ sä erinra lottagarne $ att wid deli utaf län bergmästare utsätta bolagsstämma deli 9 october denna år wara bereda att betala ben kostnad som till samma rättegång algatt $ och af undcrsteifwcli blifwit sörstuten $ med tillkännagifwande den jag fordenstull som pant $ hwarken wid $ $ eller deli 12 derpå följa $ $ kunna för au $ a lottägare staga fullmäktigskap $ utom instämma mål emot notarie ionsson att fullgöra urtima $ laga kraftmundne de $ samt återställa bruk bortta handling $
bolagsstämma		1817	1	bib13506739_18171219_144030_294_0004_alto.xml-19-14	 	Aktie-Summors belopp; ffall ffyndfam anstalt fogas^ om kallelse till särffildt sammanträde före Allm.nna Bolagsstämman, t ändamäl att under förtrolig rädplägninfl derwid bereda en åtminstone lättare om icke ckswen säkrare gäng för ärendrrnc, som komma; tt ventileras den 29 nrt innew.	105:118	0:284	Aktie-Summors belopp ; ffall ffyndfam anstalt fogas^ om kallelse till särffildt sammanträde före Allm.nna Bolagsstämman , t ändamäl att under förtrolig rädplägninfl derwid bereda en åtminstone lättare om icke ckswen säkrare gäng för ärendrrnc , som komma ; tt ventileras den 29 nrt innew .	14	0:45	$ belopp $ ffall ffyndfam anstalt $ om kallelse till särffildt sammanträde före $ bolagsstämma $ t ändamäl att under förtrolig rädplägninfl derwid bereda en åtminstone lätt om icke ckswen säker gäng för ärendrrnc $ som komma $ te ventilera den 29 nrt innew $
bolagsstämma		1828	1	bib13506739_18280102_144030_1_0001_alto.xml-21-12	 	Frågor om förändring uti desse Bolags-reglor mage väckas af Sf.ädernesJ Fullmäktige vid Bolagsstämman eller af enskild Delägare, hvilken dem i sådant fall skrifteligen anmälc hos Djrectionen inom Januari månads slut.	88:101	0:216	Frågor om förändring uti desse Bolags-reglor mage väckas af Sf.ädernesJ Fullmäktige vid Bolagsstämman eller af enskild Delägare , hvilken dem i sådant fall skrifteligen anmälc hos Djrectionen inom Januari månads slut .	12	0:32	fråga om förändring uti desse $ mage väcka af $ fullmäktig vid bolagsstämma eller af enskild delägare $ hvilken de i sån fall skrifteligen anmälc hos djrectionen inom januari månad slut $
bolagsstämma		1827	1	bib13506739_18271217_144030_295_0006_alto.xml-37-15	 	Revisorernc njute dagtractamente och ersättning för resekostnader i enlighet med hvad af delägare å första Bolagsstämman stadgas.	107:120	0:129	Revisorernc njute dagtractamente och ersättning för resekostnader i enlighet med hvad af delägare å första Bolagsstämman stadgas .	15	0:18	revisorernc njuta dagtractamente och ersättning för resekostnad i enlighet med hvad af delägare å första bolagsstämma stadga $
bolagsstämma		1819	1	bib13506739_18190316_144030_62_0001_alto.xml-3-17	 	Respektive Jnterttzenterne uti Sjö:?l§ekurans-Kompa » niet, anmodas härmed af Oicektlsnen, att tillen allmen Bolagsstämma sammanträda i Direktionens Sekions-rum a Börsen, den 24 i denne manad, kl it f. m., antingen i egne Personer eller genom Fullmäktige af Werkets Jnteretzenter, till att da afgöra och wcrkstcklla det, som 12 och 13 5.	109:121	0:337	Respektive Jnterttzenterne uti Sjö : ?l§ekurans-Kompa » niet , anmodas härmed af Oicektlsnen , att tillen allmen Bolagsstämma sammanträda i Direktionens Sekions-rum a Börsen , den 24 i denne manad , kl it f. m . , antingen i egne Personer eller genom Fullmäktige af Werkets Jnteretzenter , till att da afgöra och wcrkstcklla det , som 12 och 13 5 .	17	0:62	respektive jnterttzenterne uti sjö $ $ $ niet $ anmoda härmed af oicektlsnen $ att tilll allmen bolagsstämma sammanträda i direktion $ a börsen $ den 24 i denna mana $ kl it $ m $ $ antingen i egen person eller genom fullmäktig af werkets jnteretzenter $ till att da afgöra och wcrkstcklla den $ som 12 och 13 5 $
bolagsstämma		1830	1	bib11653823_18300614_144010_134_0003_alto.xml-18-17	 	Jttlercficnterne i Sareby Jerngrufwa, belägen i JernflogS Socken och Wcrm » lq«d, behagade faniinanträda till Bolagsstämmas hällande i Frimurarchuick i Cael » städ d.	110:123	0:166	Jttlercficnterne i Sareby Jerngrufwa , belägen i JernflogS Socken och Wcrm » lq«d , behagade faniinanträda till Bolagsstämmas hällande i Frimurarchuick i Cael » städ d .	17	0:27	jttlercficnterne i sareby jerngrufwa $ belägen i jernflogs socken och wcrm $ $ $ behaga faniinanträda till bolagsstämma hällande i frimurarchuick i cael $ städja d $
bolagsstämma		1830	1	bib13506739_18300512_144030_108_0002_alto.xml-7-2	 	sista allmänna Bolagsstämman beslutade utdelning, ho- Direktionens Ledamot, Hr And.	15:28	0:83	sista allmänna Bolagsstämman beslutade utdelning , ho- Direktionens Ledamot , Hr And .	2	0:13	sista allmän bolagsstämma besluta utdelning $ ho direktion ledamot $ hr and $
bolagsstämma		1816	1	bib13506739_18160501_144030_100_0001_alto.xml-1-3	 	att till Allmcn Bolagsstämma uti Södertclje Stad och Rä?	16:28	0:56	att till Allmcn Bolagsstämma uti Södertclje Stad och Rä ?	3	0:10	att till allmcn bolagsstämma uti södertclje stad och rä $
bolagsstämma		1807	1	bib13506739_18070704_144030_151_0004_alto.xml-15-14	 	detsamma belastadt; sä erinras Lottägarne, att wid den utaf Länets Bergmästare utsatta Bolagsstämman den 9 Oetober detta är wara beredda att betala den kostnad som till samma Rättegång ätflätt, och af underskrefwen blifwit förjkuten: med tillkännagifwande, det iag fördenstull som Part, hwarken wid Bolagsstämman, eller den 12 derpä följande Bergs-Ting, kan för andra Lottägare ätaga mig näflot Fullmägtigstap, utom instämda Mälet emot Notarien Jonsson att fullgöra Urtima Tings-Rattens Laga kraft wundne Dom, samt äterställa Brukets bomagne Handlingar.	87:100	0:553	detsamma belastadt ; sä erinras Lottägarne , att wid den utaf Länets Bergmästare utsatta Bolagsstämman den 9 Oetober detta är wara beredda att betala den kostnad som till samma Rättegång ätflätt , och af underskrefwen blifwit förjkuten : med tillkännagifwande , det iag fördenstull som Part , hwarken wid Bolagsstämman , eller den 12 derpä följande Bergs-Ting , kan för andra Lottägare ätaga mig näflot Fullmägtigstap , utom instämda Mälet emot Notarien Jonsson att fullgöra Urtima Tings-Rattens Laga kraft wundne Dom , samt äterställa Brukets bomagne Handlingar .	14	0:88	densamma belastadt $ sä erinra lottägarne $ att wid den utaf län bergmästare $ bolagsstämma den 9 oetober denna vara wara bereda att betala den kostnad som till samma rättegång ätflätt $ och af underskrefwen blifwit förjkuten $ med tillkännagifwande $ den iag fördenstull som part $ hwarken wid bolagsstämma $ eller den 12 derpä följa $ $ kunna för andra lottägare ätaga jag näflot fullmägtigstap $ utom instämma mälet emot notarie jonsson att fullgöra urtima $ laga kraft wundne de $ samt äterställa bruk bomagne handling $
