,context_id,word,gold_sense_id,predict_sense_id,positions,context
15,16,балка,1,,79-84,"! .. дрок упорно таскать к место, облюбовать имя для свой постройка, то старое балка, то стропило, то доски… наконец, завести тачка и начать издалёка привозить дикий"
16,17,балка,1,,95-100," -рига, через река вазуза, местный житель, спуститься прополоскать бельё, увидеть подвесить на балка тело неизвестный парень и вызвать полиция.- подросток покончить жизнь самоубийство через повешение"
17,18,балка,1,,82-87," при чем. основной на сегодня являться версия, что причина авария стать обрушение балка перекрытие в связь с « усталость металл »."
18,19,балка,1,,91-96," видно небо. есть дом, особенно небольшой, с раскрошиться крыша, из-под который обрушиться балка и доска. они косо повиснуть, и кажется -- они весь ещё рушиться, вечно"
19,20,балка,1,,63-68," на пресня ломать старинный дом: с третье ярус с она упасть, с балка рухнуться, а опустить без вред, ни царапина! ещё -- спаситель, тоже очень старинный, «"
20,21,балка,1,,76-81,", лазить на гореть здание; огонь опалить он волос; едва не задавить рухнуть балка. помогать вытаскивать убогий пожитки бедняк из подвальный жилища, стоялый по пояс в"
21,22,балка,1,,13-18, -- добавить балка к второе конец балка e 1 и к второе конец балка e 2;* add beam e1 f -- добавить балка к первое конец балка
22,23,балка,1,,89-94," при надобность и битый бутылка. жёлтый электролампа под колпак свешиваться с деревянный балка, как самоубийца. свет её то тускнеть, то разгораться -- вместо движковый на электростанция"
23,24,балка,1,,79-84," в весь рост только в такой случай, если предварительно позаботиться отойти от балка и стать в самый глубокий место полый. кроме грубый скамья, стол и"
24,25,балка,1,,73-78," э.г.отис. небоскрёб состоять из фундамент, стальной каркас из колонна и балка над земля и стена на завеса, прикрепить к балка. в это небоскрёб"
25,26,балка,1,,14-19," из колонна и балка над земля и стена на завеса, прикрепить к балка. в это небоскрёб основный нагрузка нести стальной каркас, а не стена. этот"
26,27,балка,1,,93-98," мина. по слово губернатор, такой вывод можно сделать из-за `` разрушение основной титановый балка. в практика крушение самолёт такой ещё не быть. а потому есть большой"
27,28,балка,1,,65-70," дом – полностью снести шифер с крыша, с один дом снести крыша с балка, в местный детский сад повредить 20% кровля и частично быть выбить стекло."
28,29,балка,1,,89-94,", едва озарять взволновать лицо. при они трепетный свет можно быть разглядеть деревянный балка под крыша и наивный роспись на стен: добрый пастырь с овца на"
29,30,балка,1,,93-98," мимо гашек. талисман « металлург » лисёнок что есть сила колотить в подвесить металлический балка( это такой ноу-хау в магнитогорск, вместо паровозный гудок), а герой утопать в"
30,31,балка,1,,76-81," лужков! быть любезный, доложить мэр о проект профессор. деньга на стойка и балка для ребёнок надо немного. мочь быть, даже маленький, чем на памятник петра"
31,32,балка,1,,89-94," такой случай часто наступать тот самый « реактивный момент », когда задний винт сносить балка. экипаж до конец пытаться посадить уйти « вразнос » машина. почему я делать такой"
32,33,балка,1,,77-82," стена. потолок над башня не быть, он давно обвалиться, лишь один полусгнить балка, как пушка, торчать из каменный стена. в этот толстой замшелый стена быть"
33,34,балка,1,,84-89," ... я не хотеть делать никакой официальный заявление, но если бы действительно тот балка взорваться, самолёт бы развалиться прямо в воздух на мелкий кусок. дело в"
34,35,балка,1,,84-89," цветаев, « она висеть невысоко над полый, на гвоздь, вбить в поперечный потолочный балка, на тонкий крепкий шнур ». причина гибель марина цветаев множество, они постепенно подбираться"
35,36,балка,1,,54-59, e 1 и к свободный узел f;* add beam e2 f -- добавить балка к второе конец балка e 1 и к свободный узел f. параметр
36,37,балка,1,,91-96," окно зиять франтоватый прежде, в арабский стиль городской купальня. стоять на двутавровый балка в самый мор деревянный кофейня, вычурно раскрасить и носить шутливый название « поплавок »,"
37,38,балка,1,,96-101," вместе с плотник -- обычай называться « окладный ». когда стена срубить и проложить потолочный балка, матица, опять плотник угощение: « матешно ». а крыша тёс закрыть, да сверху князёвый"
38,39,балка,1,,72-77," точить колёсный бандаж и надевать ося. старый грязь и копоть висеть на балка махры, пахнуть сырость и мазут, разредить свет осень мертво сиять на механизм."
39,40,балка,1,,71-76," который они выбить золотой зуб. теперь не найти консервы, но много по балка и по канава ржавый жестянка, свистящий дырье на ветер. одуреть от вино,"
40,41,балка,1,,110-115," он. – наш эксперт установить причина авария – брак металлоконструкция. быть нарушить технология изготовление балка, несущий покрытие здание ». специалист « городской центр экспертиза » видеть в это факт начальный"
41,42,балка,1,,97-102," светлый тон, выделять кирпичный цоколь, подчёркивать линия крыша и умеренно оттенять деревянный балка."
42,43,балка,1,,85-90," посуда. в франция материал брать прямо у природа: грубый каменный стена, деревянный балка потолок, керамический и деревянный посуда. в россия популярный и « англия », и « франция »,"
43,44,балка,1,,105-110,". по слово серебренников, там « катастрофа на катастрофа »: протекать крыша, старое коммуникация, сгнить балка. но пока реконструкция коснуться только зал, который быть превратить в универсальный зал-"
44,45,балка,1,,95-100," просторный гулкий плохо осветить здание уже вовсю сновать строитель, лежать огромный железный балка, слышный удар инструмент и скрежет машина для сварка. маэстро даже немного растеряться,"
45,46,балка,1,,81-86," закрутиться, свиться в сизый и чёрный дым, устремляться на потолок, к смолистый балка истопка. она уже задыхаться от дым и плотный прижаться к прохладный земляной"
46,47,балка,1,,84-89, доллар. американец же любить вспоминать уже стать легенда в авиационный круг « наш балка »: с это год весь поперечный балка – основа для шасси – для самолёт семейство
47,48,балка,1,,105-110," свободно делать перепланировка, переставлять перегородка внутри квартира. но при это нельзя затрагивать балка каркас, расположить под потолок, и колонна( сантиметр. схема). серия: 1-335("
48,49,балка,1,,82-87," можно остановиться как в классический номер, так и в « эстонский », с деревянный балка, сводчатый потолок, плетёный коврик и прочий. сервис это отель уже опробовать на"
49,50,балка,1,,80-85," плед и вздрагивать при всякая молния, освещать небо, при всякий треск валиться балка. по весь деревня господствовать великий смятение: рыдание, стон, крик несколько десяток голос"
50,51,балка,1,,108-113," математический модель. например, в кораблестроение трёхмерный корпус судный рассматривать в вид одномерный балка, для который уже давно существовать методика расчёт. в случай с обпс этот"
51,52,балка,1,,93-98," автотранспорт по мост: давать возможность грузовик быстро отвозить поднять из вода бетонный балка. с мост хорошо видно, как широко разлиться река. кажется, что маленькая дом"
52,53,балка,1,,78-83,", зпу и пулемёт стрелять по фюзеляж гораздо сподручный, чем в узкий хвостовой балка. по опыт афганский война, война в ангола, конго, на ближний восток из"
53,54,балка,1,,86-91, один здание – полуразрушить погреб-ледник. из-за таяние снег и грунтовый вод несущий балка исторический сооружение серьёзно повредиться. когда компания-застройщик ооо « лес-форум » начало возводить
54,55,балка,1,,18-23, и к первое конец балка e 2;* addbeame 2 e 1 -- добавить балка к второе конец балка e 1 и к первое конец балка e
55,56,балка,1,,81-86," опытный, как другой, чуть-чуть взять руль не туда, задний колесо заскользить по балка, и грузовик провалиться, повиснуть кардан на один из балка и, по счастие,"
56,57,балка,1,,77-82," whelen hhs 2200, 50 динамик-громкоговоритель тот же фирма и 25 светодиодный балка( оснащение не менее 16 светомодуль). мигалка далеко не простой. к пример, они"
57,58,балка,1,,79-84, угол в угол косо протянуть труба. нары завалить пальто и телогрейка. прогнить балка оклеить цветной фотография из журнал. на тумбочка громоздиться немытый посуда. мы скинуть
58,59,балка,1,,119-124," размещение небольшой спортивный сумка. пространство багажный отделение несколько ограничить расположить поперёк кузов балка жёсткость. однако он вполне хватить для повседневный жизнь, не связанный с перевозка"
59,60,балка,1,,90-95," стоить смерть и предательство! » -- воскликнуть ян. он метнуть нож, который воткнуться в балка за спина отец: « ты хотеть этот смерть? ответить. но прежде хорошенько подумать »"
60,61,балка,1,,71-76," подойти к наш причал. я вытащить цепь и, обмотать она вокруг железный балка, повесить замок. проверить, хорошо ли он закрытый, я аккуратно положить ключ в"
61,62,балка,1,,76-81," комната. что это быть за комната! крошечный окно, низкий, кривая потолок с балка внутрь, известковый стена, синий от сырость, узенький железный кровать и стол с"
62,63,балка,1,,86-91," собраться очень много. весной текущий год быть обратить внимание на плохой состояние балка на колокольня иван великое, на который висеть колокол, в так называть филаретов"
63,64,балка,1,,88-93," изображение. и я увидеть муж, лежать среди какой-то хлам, придавить тяжёлый деревянный балка. он постанывать и слабо шевелить ладонь."
64,65,балка,1,,107-112," и опыт внедрение система каркасный строительство выступить директор белнииса -- александр иван мордич. -- балка, она и в африка -- балка железобетонный, -- начать свой выступление с шутка александр"
65,66,балка,1,,73-78,". с стена свисать пучок трава, связка лука, перец и чеснок. к потолочный балка подвесить быть чучело странный звереть, из который жихаря мочь узнать( и то"
66,67,балка,1,,82-87," 100% по сравнение с предыдущий модель. в задний часть автомобиль быть установить балка больший объём для защита салон. два подушка безопасность наполняться в два этап,"
67,68,балка,1,,104-109," промежуток ширина 18 сантиметр. измельчить шлак. перекрытие горизонтальный. оно состоять из деревянный балка ... по он доска толщина два дюйм, подготовка из тощий бетон с придание"
68,69,балка,1,,118-123, -параметрический оптимизация;* решение являться балочный конструкция;* необходимый минимизация весы ребро( или масса балка);
69,70,балка,1,,81-86," пламя при 100 градус. есть обувь с невминать носка. упасть, допустить, пожарный балка на нога, нога остаться целый. и шлем теперь напоминать персональный компьютер- оснастить"
70,71,балка,1,,80-85," и годовалый девочка висеть рядком, верёвка быть привязать к специально вбить в балка крюк. только девочка, видимо, из-за малое вес, быть ещё живой. врач потом"
71,72,балка,1,,92-97," есть несколько признак, на который стоить обратить особый внимание. срубить винт хвостовой балка говорить о тот, что машина попасть в сверхэкстремальный ситуация, двигатель и винт"
72,73,балка,1,,89-94," запустить. он не найти возможный прикрепить к потолок дуговой лампа вследствие ветхость балка. дессеять полагать, что теперь приток свежий воздух ускорить процесс гниение. *** бухарест, 3"
73,74,балка,1,,71-76," туесок -- крупный, как битый стекло, соль. а у потолок, в привязать к балка мешочек, оказаться окаменеть мука, спрятать от мышей. но это потом, потом… а"
74,75,балка,1,,95-100," юбилейный, 30-метр саммит россия-ес. рождественский базар, многоярусный ёлка из металлический балка( по слово местный житель, « толерантный уступка мусульманин »), стайка отдыхать школяр и моросить"
75,76,балка,1,,82-87," дерево. оно повсюду: половина- из массив тик. под потолок- квадрат из деревянный балка. диван, кресло и стул красный дерево. большой обеденный стол из модный сейчас"
76,77,балка,1,,99-104," огромный полутемный зал. высокий кирпичный арка. контрфорс. мощный, почернеть от время деревянный балка. золотистый пыль в узкий оранжевый солнечный луч. -- эффектно! -- говорить я. -- похоже"
77,78,балка,1,,92-97," влажный земля. большой терпеть быть невозможно: дьякон закричать и, прыгать через какой-то балка, печь, кирпич, кинуться сквозь перелыгинский дом. слышный быть, как сзади падать и"
78,79,балка,1,,93-98,"( « exit' а » -- точка, откуда делать прыжок) бэйсерам выделить два отметка. один -- длинный балка на высота 365 метр, который выступать над ресторан « семь небо ». она похожий"
79,80,балка,1,,97-102," институт. ещё быть студент, принимать активный участие в расчёт армированный конструкция опора, балка и плита. в 1932 год спроектировать вокзал в новосибирск. в 1930-е"
80,81,балка,1,,86-91,", что ухо кролик связывать крепкий верёвка. два конец этот верёвка перекидывать через балка под потолок, кролик слегка подтягивать и, вручить он два конец верёвка, отпускать."
81,82,балка,2,,81-86," не страшно. теперь весь -- сказка. баба-яга в гора ... волчий логово в глубокий балка пойти -- за топливо? .. там стена -- глубокий чаша, небо там -- синий-синий. куст"
82,83,балка,2,,81-86," на обозный повозка, я приближаться к свой батарея, расположить где-то в степной балка. вокруг ни один деревце. ровный сухой степь, милый мой сердце. вдруг послышаться"
83,84,балка,2,,74-79," жёлтый, в кровяной узор дублёнка белокурый. до вечер за бугор в терновый балка погромыхивать выстрел. в станица побить собака, приниженно лежалый тишина. уже заголубеть сумерки,"
84,85,балка,2,,76-81, 2003 год часть асбестовый отход быть вывезти на полигон тбо в первомайский балка. по некоторые данные основной объесть асбест до сей пора храниться на северный
85,86,балка,2,,78-83," поль: земля чёрный молча лежалый. дуля ветер по межа, по невидимый кустарник балка, по щебнистый пустырь там, где ранний быть хутор, скосить снаряд по дорога,"
86,87,балка,2,,81-86," цепь по направление выстрел. цепь стоялый на опушка леса перед спускаться голый балка. ветер тянуть на лес, и не только спуск балка, но и тот"
87,88,балка,2,,82-87, под индивидуальный строительство. « у я перед вы долг. нужно решить по « золотой балка » вопрос землеотвод. я сам это предложить и быть отстаивать. это совершенно в
88,89,балка,2,,76-81," сойтись, до сей пора на русь предостаточно и ведьмин владение- яров, роща, балка, хребтовый ... шайтан, дьявол, злой дух и другой, местный представитель тот же нечистый"
89,90,балка,2,,54-59," через два час в ялта, а теперь я через два час ... в балка, если не добыть пропуск! а если я добыть пропуск, я очень чего-то"
90,91,балка,2,,101-106, фарватер бухта постепенно заиливаться. регулярный отвал крупный фракция щебень в район васильевский балка в декабрь прошлое год привести к мощный оползень – под груда камень оказаться
91,92,балка,2,,44-49," естественный участок. ближний тыл позиция, балка мокрый мечёткий с лежать на день балка село городище и уваровка, давать надёжный укрытие от огонь, но не быть"
92,93,балка,2,,69-74," пасека. -- да есть ли ещё пасека? -- усомниться он, уже подходить к балка. но пасека быть. и душистый сено быть, лежалый копна. и, как всегда,"
93,94,балка,2,,72-77," межевой столб весною это год перенести в калиновый угол по оба сторона балка? твой честной колхозник перенести они, спрямить линия граница и оттяпать у мы"
94,95,балка,2,,74-79," гск румын, 5, 6 и 8 кавбригада румын продолжать контратака в направление балка, нв. успеновка и елизаветовка. попытка противник сила до пп перейти в контратака"
95,96,балка,2,,81-86," число отношение пройти путь к оставаться. но вот коляска выбраться из последний балка и наконец взъехать на почтовый большак, по который до город оставаться не"
96,97,балка,2,,101-106,", продолжать удерживать павлоград. штаб группа -- павлоград. 15 сд занимать рубеж оборона цыгановка, балка московск, балка вошивать,( иск.) троицкий. 136 сд обороняться на прежний рубеж. 261"
97,98,балка,2,,65-70," и гриб. это в леса вдоволь. пять день татьяна мирный ночевать в балка и ждать помощь. она оказаться очень находчивый: обложить сухой дерево ветка, чтобы"
98,99,балка,2,,77-82, быть сам шамиль. партия спуститься под гора и показаться на вершина ближний балка справа и стать спускаться вниз. маленький генерал в тепло чёрный сюртук и
99,100,балка,2,,63-68," в машина, хозяйка убежать в дом, а немец, свернуть на съезд в балка, поехать в жандармерия. ребята перетаскать мешок в клуб и спрятать в подвал."
100,101,балка,2,,82-87," наклон поверхность склон и край динамический мульда; 2) при подработка овраг или балка в направление перпендикулярный тальвег, следовать выбирать направление движение забой в план такой"
101,102,балка,2,,82-87,", потревожить наш ранний бегом, и вид длинный голубой тень, теряться в неглубокий балка. к обед, разгорячить и устать, мы забиться в левушкина домик, топить печь"
102,103,балка,2,,83-88," мимо земляной подвал, где храниться керосин, к контора, стоять далёкий, у самый « балка », на спуск к берег. солнце пекло. он быть весь одетый в парусина;"
103,104,балка,2,,80-85, быть каждый минута. грозить степной весенний распутица; в каждый ярка и каждый балка -- шумный поток снеговой вода. чёрный оголить дорога резать лошадь. по заморозку-утренник
104,105,балка,2,,77-82," глубокий, что, отбежать триста-четыреста шаг, девушка не мочь уже видеть ни балка, ни река, ни леса -- степь поглотить весь."
105,106,балка,2,,74-79," выскакивать чуть вверх по склон, выглядывать из воронка и видеть: по дно балка к пещера идти вод. с утробный рокот по камень, сгребать по путь"
106,107,балка,2,,74-79," знать для что полезть в карман за кисет. петька стремительно скатиться в балка, григорий за он. странно путаться непослушный нога, бег черепаший, а сердце колоться"
107,108,балка,2,,75-80," затяжной весна.- снег таять постепенно и уходить не по замёрзнуть земля в балка, а в почва,- пояснить специалист.- в результат к апрель мы прислать к"
108,109,балка,2,,78-83," не смочь растащить завал. напомнить: два неделя назад, кроме тот, в верховье балка произойти пожар, сгореть гектар можжевельник и фисташка. сам балка, писать газета, заваливать"
109,110,балка,2,,66-71,". -- и капкан на он ставить. и машина подломать, вверх торманом в балка лететь. спасибо, бог спасти. и поджигать ... -- вы? -- а кто"
110,111,балка,2,,75-80," », к юго-запад от бывший имение « грёза » в заросль кустарник и дерево, в балка, немецкий палач устроить два колодец смерть ... согласно данные гидрогеологический изыскание и свидетельский"
111,112,балка,2,,81-86," и почуять усталость. позади лежалый бессонный ночь, просить тело покой. в устье балка, чуть подняться на взгорок, в тенить тимофей лечь отдохнуть. и заснуть. проснуться"
112,113,балка,2,,69-74,", нырять, казалось, над край свет. вблизи же, перед высота и по скат балка, медленный широкий полукольцо танк весь тесный охватывать берег. слева мост не быть"
113,114,балка,2,,88-93," кухня, сарай, соседний дом. вставать зарево, освещать склон холм, изрезанный падина да балка. в неверный свет они казаться бездонный. хутор горелый. на другой день тимофей"
114,115,балка,2,,74-79," за высота, на южный берег река, левый станица, на тот пространство перед балка, вчера отрезать немец, где недавно ожить несколько орудие, несколько противотанковый ружьё и"
115,116,балка,2,,73-78,"?! свой сок! .. вылизывать из камень. весь ночь весь семья искать они по балка, по лесной чаща."
116,117,балка,2,,91-96," на оп в противотанковый и противопехотный готовность. не допускать скопление артиллерия в балка, ущелие, на переправа, являться мишень для мелкий группа танк и автоматчик благодаря"
117,118,балка,2,,66-71," кожа, что ли. -- потом некулей и арин идти в степь, спускаться в балка, где наверху склонять голов солнце подсолнух, а внизу пересвистываться и замирать неподвижно,"
118,119,балка,2,,78-83,". наконец полицейский не стать видно: за дом шевцов начинаться крутой спуск к балка. только вспышка рассеянный отражённый свет вдали говорить о тот, что « полицай » по-прежнему"
119,120,вид,1,,88-91," смешение с raffaello. однако судебный спорый « ландрин » с роспатент по охрана внешний вид raffaello продолжаться. группа ferrero открыть московский представительство в 1995 год, а свой"
120,121,вид,1,,87-90," дизельный двигатель и другой современный механизм, не оставить без внимание и внешний вид. как хороший украсить грузовой автомобиль, не нарушать технический целесообразность? решить поставить на"
121,122,вид,1,,80-83," углубляться немец в наш страна, тем опасный становиться ихх положение. я иметь вид ученик, держать трудный экзамен перед ареопаг строгий профессор. только добродушный толстяк жоффр"
122,123,вид,1,,98-101,"- остафьев отвечать с расстановка, тоже, как и господин голядкина, наблюдать немного таинственный вид, подёргивать немного бровь, смотреть в земля, стараться попасть в надлежащий тон и,"
123,124,вид,1,,100-103," из метод определение координата этот точка. параметрический уравнение прямая линия иметь следующий вид:< formula>, где x, y, z -- координата точка на прямая; k i -- коэффициент"
124,125,вид,1,,82-85," это время множество сильный и новый ощущение. природа кавказ и азиатский турция; вид убитый и раненый; затруднение и усталость походный жизнь; возможность опасность, который пушкин"
125,126,вид,1,,99-102," появиться напоминание родитель следить за играть ребёнок. сам оборудование площадка изменить свой вид. боковой опора качели снабдить дополнительный конструкция, чтобы ребёнок не засовывать туда голова"
126,127,вид,1,,64-67, маринетти. маринетти явиться к я с газета наш рука и с грозный вид. он спрашивать:
127,128,вид,1,,106-109," артюшка, вдохновляться собственный фантазия, вызвать желание представить жизнь арапчонок в самый ужасный вид. -- не разбирать, анафема, что перед имя безответный мальчонок, хоть и негр ... у"
128,129,вид,1,,94-97," дом. он фигурка типичный французский буржуа с козлиный бородка это переодевание воинственный вид не придавать, но зато прийтись по вкус французский солдат: народ они опасный"
129,130,вид,1,,91-94,", сложиться обстоятельство. как я теперь быть оправдываться перед колян за потеря товарный вид машина, за унизительный пробежка в тапочки, за весь наш наивный приготовление? он «"
130,131,вид,1,,83-86," хозяйственный постройка в поселение не только веселить глаз, но и радовать душить вид обиходить человеческий жильё. и ещё несколько забытый понятие и название матица, матница,"
131,132,вид,1,,67-70," от мышей они с весь сторона быть обрезать коса, что придавать имя вид особенный правильность. ряд с скирд виднеться стожок сена, тщательно покрыть солома и"
132,133,вид,1,,93-96," рациональный психотерапия первое, что бросаться в глаз при вход в корпус, — « гражданский » вид вагнер. вместо спортивный костюм на бразилец – джинса и куртка. судить по весь,"
133,134,вид,1,,83-86," в изнеможение откинуться на спинка диван. сила, казалось, оставить она; она иметь вид восковой фигура, с полузакрытый, потухший глаз. сам себя разумеется, что этот дама"
134,135,вид,1,,89-92,", неопределённый цвет пиджак, натянутый на бровь кепка ... и, как бы дополнять нелюдимый вид, из-под полый пиджак выглядывать финка в кожаный ножны. финка для дубинин не"
135,136,вид,1,,91-94," безошибочно можно быть заключить не столько по нарядный платье, сколько по величественный вид и осанка, и, подойти к бричка, спросить: « кто здесь? » -- « дозволить прежде сойти"
136,137,вид,1,,35-38," фон верден( обращаться к карпов с вид недоумение и язвительный усмешка). баев парятка? кашиться, это термин нет ... карпов. по-вашему"
