context_id	word	gold_sense_id	positions	context	grouping
74	Armenhaus	1	180-189	"Hielten diese hohen Auswanderungsquoten an, so wurde dieser Tage auf einem Kolloquium am Berliner Institut für Sozialwissenschaftliche Studien gewarnt, könnte „Ostelbien"" zu einem Armenhaus Deutschlands werden."	2
75	Armenhaus	1	15-24	"Im. nationalen Armenhaus"" der Türkei ist die Kindersterblichkeit sehr hoch, in weiten Teilen der Region gibt es kein fließendes Wasser in den Behausungen."	2
76	Armenhaus	1	66-78	„Unbestritten gehörte im kapitalistischen Deutschland Suhl zu den Armenhäusern.	2
77	Armenhaus	1	142-151	"Mit jährlich einer Milliarde Pfund Sterling von allen „Entwicklungsgebieten"" am stärksten subventioniert verkörpert Nordirland gleichwohl das Armenhaus des Vereinigten Königreichs."	2
78	Armenhaus	1	162-171	Mißwirtschaft und stänrlispr Aderlaß führten dann auch folgerichtig zur Katastrophe, brachten Portugal den vom internationalen Kapital zvnisch gebrauchten Namen „Armenhaus Europas ein.	2
79	Armenhaus	1	60-69	Helmut Nüchter übertreibt nicht, wenn er das Kalirevier zum Armenhaus Deutschlands verkommen sieht.	2
80	Armenhaus	0	52-61	Am 28. März dieses Jahres starb Jim Thorpe in einem Armenhaus in Los Angeles im Alter von 64 Jahren	2
94	Dynamik	1	159-166	In Verwirklichung der Beschlüsse der 7. Tagung des Zentralkomitees gelte es, die Intensivierung der Volkswirtschaft umfassend zu vertiefen, um die ökonomische Dynamik und die wirtschaftliche Leistungskraft unserer Republik weiter auszubauen.	2
95	Dynamik	1	63-70	Die Großzügigkeit und Kühnheit im Zugriff auf Wirklichkeit die Dynamik und Freiheit seiner Gestaltungen werden als ein Ausdruck der optimistischen Weltsicht der unmißverständlich bekundeten Zukunftsgewißheit dieses Künstlers und Kommunisten empfunden.	2
96	Dynamik	1	69-76	Es kann für uns keinen Zweifel daran geben, daß die außerordentliche Dynamik dieser Entwicklung, deren positive Auswirkungen auf das Leben unserer Völker mit jedem Tag stärker werden, vor allem dem einigen Vorgehen der kommunistischen und Arbeiterparteien zuzuschreiben ist, die ihren Kampf und ihre Politik auf die wissenschaftlichen und wahrhaft revolutionären Erkenntnisse des Marxismus-Leninismus begründen.	2
97	Dynamik	1	90-97	Die Beschlüsse des VI. Parteitaaes der PVAP dienen dem Ziel, dieser Entwicklung noch mehr Dynamik zu verleihen.	2
98	Dynamik	1	49-56	In einer Entwicklung « --Phase von so gewaltiger Dynamik kommt es für einen Industriestaat vom Hange der Deutschen Demokratischen Republik entscheidend darauf an, daß alle bestehenden Möglichkeiten ausgeschöpft werden, um dem Neuen, dort wo es sich wirtschaftlich lohnt, schnell zum Durchbrach zu verhelfen.	2
99	Dynamik	1	131-138	Der 1. Sekretär der SED-Bezirksleitung, Hans Modrow, informierte die Gäste über die Verantwortung des Elbebezirkes für die weitere Dynamik des Leistungszuwachses in der DDR-Volkswirtschaft.	2
100	Dynamik	0	40-47	Im zweiten Teile seines Werkes über die Dynamik findet sich weiter die erstaunliche Erkenntnis, daß die Wärmen (wir sagen heute Temperaturen) im umgekehrten Verhältnis zu den Dichten der Luft stehen.	2
101	Dynamik	1	0-7	Dynamik gewonnen ' haben, die einen Abschluß noch in diesem Jahr erhoffen läßt.	2
102	Dynamik	1	39-46	Er unterstrich, daß sich dde von hoher Dynamik und Effektivität gekennzeichnete volkswirtschaftliche Entwicklung der DDR auch 1986 fortsetzen ward.	2
103	Dynamik	1	103-110	Die wirtschaftliche Entwicklung der DDR werde in diesem Jahr „im allgemeinen von Kontinuität und hoher Dynamik gekennzeichnet*, schreibt das Blatt.	2
104	Dynamik	1	38-45	Deren militante exportwirtschaftliche Dynamik hat die Konkurrenz Im letzten Jahrzehnt das Fürchten gelehrt.	2
105	Dynamik	1	212-219	"„In diesem Zusammenhang mochte ich betonen, daß wir die Festigung der Zusammenarbeit mit den befreundeten Staaten in Ihrer Region als notwendig erachten und daß es unser Ziel ist, dieser Zusammenarbeit eine neue Dynamik zu verleihen"", sagte er weiter."	2
106	Dynamik	1	106-113	Die Grenzen des bisherigen Entwicklungsweges müssen durchstoßen werden, damit der Sozialismus eine höhere Dynamik und dadurch auch eine größere Stabilität erlangt, damit er sein ganzes Triebkraftpotential entfalten kann.	2
107	Dynamik	1	92-99	"ANGOLA Die Zeitung „Diario de Luanda"" hebt die Worte Erich Honeckers hervor, Stabilität und Dynamik des sozialistischen Weltsystems bestimmten in engem Zusammenwirken mit der internationalen Arbeiterbewegung und der nationalen Befreiungsbewegung immer mehr den Gang der Dinge iii der Welt."	2
108	Dynamik	1	66-73	Geprägt von dem Bewußtsein, daß politische Stabilität ökonomische Dynamik und kontinuierliche Fortsetzung der Einheit von Wirtschaft »-und Sozialpolitik von entscheidender Bedeutung für den Beitrag unseres Landes zur Sicherung des Friedens sind, wollen sie im 35. Jahr des Bestehens der DDR-die bisher größten Leistungen erreichen.	2
109	Dynamik	1	62-69	Die DDR verfügt über alle Potenzen, um auch künftig eine hohe Dynamik der gesellschaftlichen Entwicklung zu gewährleisten und die Anforderungen unserer Zeit erfolgreich im Interesse und zum Wohle der Menschen zu bewältigen.	2
110	Dynamik	1	156-163	Günter Mittag, Mitglied des Politbüros und Sekretär des Zentralkomitees der SED, weist nach, daß in unserer Republik die sozialistische Planwirtschaft ihre Dynamik auch unter veränderten Bedingungen beweist, weil die marxistisch-leninistische Partei in der Wirtschaftspolitik ihre führende Rolle auf der Grundlage einer richtigen Gesellschaftsstrategie konsequent verwirklicht	2
111	Dynamik	1	61-68	„Sie hat auf die anderen Künste vor allem gewirkt durch ihre Dynamik, eine Vielzahl schöpferischer Ideen und hohe technische Qualität.	2
129	Eintagsfliege	0	170-184	Zwischen Wachen und Träumen erlebt ein Landstreicher (Ladislav Pesek bestätigte in dieser Rolle seine Meisterschaft) bei Schmetterlingen und Mistkäfern, Raubinsekten und Eintagsfliegen, Grillen und Ameisen allzumensch -	2
130	Eintagsfliege	1	294-308	Die „Spree-Athener '' rutt man sie. die Kollegen des Mähdrescherikamplexes E 512 vom VEG Albertshof Ihr Quartett hai diesen Namen für hervorragend Ernteleistungen im Vorjahr verliehen bekommen in der Senduna..7 bis 10: Sonntagmorgen in Spree-Atihen ' \ Brigadier Petei Pohls kst kein Mann, der Eintagsfliegen liebt, sich auf Lorbeeren etwa ausruht.	2
131	Eintagsfliege	1	65-79	"In der Geschichte der Straßen-Weltmeisterschaften hat es viele.. Eintagsfliegen""' gegeben."	2
132	Eintagsfliege	1	65-78	Dieser Lauftreff soll weder für uns noch für die Teilnehmer eine Eintagsfliege bleiben.	2
133	Eintagsfliege	0	22-35	Vom Hochzeitsta z der Eintagsfliege, von neugierigen Pavia nen und der Wunderweh der Korallen.	2
134	Eintagsfliege	1	58-72	Nicht wenige Werke unserer zeitgenössischen Dramatik sind Eintagsfliegen geblieben, da ihnen ein Minimum an künstlerischer Aussagekraft fehlte.	2
135	Eintagsfliege	1	64-77	"Das „Laager Quartett"" soll, was die Aufführung anbelangt, keine Eintagsfliege sein."	2
136	Eintagsfliege	1	103-116	"Andererseits brennen die Spieler naturlich darauf zu beweisen daß die hohe Schlappe beim FC Hansa eine Eintagsfliege war. V.'onn das „Nervenkostüm"" des BFC in Ordnung ist, dann wird er den Überi aschungs -Tabellenführer Zwick-rj Eewiß auch voll fordern Viel wird vom Abschneiden der Berliner abhangen, ob sie die Kr< Mse des Kontrahenten bereits frühzeitig stören können."	2
137	Eintagsfliege	1	109-122	setzten wir Prämien für die Übererfüllung der Tagesnorm aus Das wirkte Wunder Aber die ganze Aktion wai eine Eintagsfliege	2
138	Eintagsfliege	1	53-66	Die Initiative zur Substitution von Heizöl ist keine Eintagsfliege in Meißen.	2
139	Eintagsfliege	0	30-43	Gemächlich verspeiste sie die Eintagsfliege weiter. ohne sich um den Gelbrandkäfer zu kümmern.	2
140	Eintagsfliege	1	22-36	„Es geht uns nicht um Eintagsfliegen, sondern darum, Weichen für den künftigen Leistungszuwachs zu stellen.	2
141	Eintagsfliege	1	30-43	Mit diesem Einsatz, der keine Eintagsfliege sein soll. — schon im letzten Jahr wurde über den Fleiß dieser Hausgemeinschaft berichtet konnte ein Teil des Vertrages, den die Hausgemeinschaftsleitung mit dem Gartenamt abgeschlossen hat, sehr gut realisiert werden.	2
142	Eintagsfliege	1	27-40	"daß dieses Ergebnis keine „Eintagsfliege"" bleiben wird."	2
143	Eintagsfliege	1	289-302	im SpineUenfelder Ernst-Grube-Stadion trafen sich Hunderte Mitarbeiter der Verlage und Druckereien unserer Hauptstadt zu Ihrem alljährlichen traditionellen Betriebssportfest Der Direktor des Berliner Verlages, Rudolf Barbarino, sprach die Hoffnung aus, daß die sportliche Betätigung keine Eintagsfliege sein werde.	2
144	Eintagsfliege	1	66-80	Zusammenkünfte, wie wir sie eingangs erwähnten, sind längst keine Eintagsfliegen mehr.	2
145	Eintagsfliege	1	14-27	Ist das eine „Eintagsfliege Ist Ihnen in der Halle, in der Sie zumeist einkaufen, dergleichen noch nicht aufgefallen?	2
146	Eintagsfliege	1	79-93	"„Das bietet uns gleichzeitig die Gewähr, daß die angestrebten Bestwerte keine. Eintagsfliegen ' bleiben und' das älteste Viertel Berlins zur 750-Jahr-Feier in neuem Glanz erstrahlt"", sagte Reiner Rittel, Jugendbrigadier einer Maurerbrigade."	2
147	Eintagsfliege	1	81-94	Nur ein Narr kann heute das sozialistische Deutschland noch für eine historische Eintagsfliege halten.	2
169	Engpaß	1	175-183	Neben der weiteren vorrangigen Entwicklung der führenden Zweige auf dem Gebiet der Investitionen werden im Jahre 1966 gleichzeitig auch stärker als in den Vorjahren bestimmte Engpässe,	2
170	Engpaß	1	107-113	Fittlngs, Rohre und Armaturen aus Mipolam (hergestellt auf der Basis des Polyvinylchlorids) halfen manchen Engpaß überwinden. Phenoplaste (Verbindungen von Phenolen und Formaldehyd) liefern Preßmassen zu Baustoff und Konstruktionsmaterial und ersetzen mit Papier als Hartpapier oder Hartgewebe im Maschine nbau Gußeisen.	2
171	Engpaß	1	152-161	Betriebsfunk, Betriebszeitung, Vorträge von Fachleuten — alle erklären die notwendigen Schritte und werben um die besten Vorschläge zur Überwindung von Engpässen und Störfaktoren.	2
172	Engpaß	1	86-92	Daß von dieser Seite nicht alle Möglichkeiten ausgeschöpft wurden, damit nirgends ein Engpaß eintritt, ersieht man schon daraus. daß nicht einmal für die diesjährigen Schulabgänger genügend Arbeitskleidung vorhanden war.	2
173	Engpaß	1	67-75	Der Magdeburger Baurrlechanisierungsbetrieb hat sich noch weiterer Engpässe der Baumaterialienindustrie angenommen: der Fertigung von Hohldielen, wie sie für fast alle niedrigen Bauwerke, für den Eigenheimbau sowie bei komplexen Werterhaltungsarbeiten erforderlich sind.	2
174	Engpaß	1	71-77	Die RöhrenherstelluAq ist nach dem Zusammenbruch auch der schwierigste Engpaß der Rundfunkindustrie.	2
175	Engpaß	1	70-78	"Viele Ministerien setzen die Betriebskapazitäten mit Ausrichtung auf „Engpässe"" in der Produktion fest; bei der Berechnung der Kapazitäten werden oft zu niedrige Normen für die Produktivität der Ausrüstung festgesetzt, es werden Arbeitsnormen für die Herstellung von Erzeugnissen ohne Berücksichtigung der fortschrittlichen Technologie und der vollkommneren Methoden der Arbeitsorganisation festgesetzt."	2
176	Engpaß	1	96-104	Es sei selbstverständlich, daß jeder im Betrieb alle Kräfte mobilisiere, um Schwierigkeiten und Engpässe ZU überwinden.	2
177	Engpaß	1	94-102	Natürlich ist Uns dabei bewußt daß sowohl die Baustoff-als auch die Transportfrage erhebliche Engpässe sind.	2
178	Engpaß	1	13-19	Ein weiterer Engpaß, den wir nur mit Mühe Oberwunden haben, war die schlechte Qualität ' unserer Zugkräfte.	2
179	Engpaß	1	88-96	Es fehlt an vielen Dingen bei der BVG; Ersatzteile, Weichenanlagen sind auch jetzt noch Engpässe.	2
180	Engpaß	1	241-247	„Nachdem wir im Bereich Schweißerei, im Emaillierwerk und in der Endmontage in den letzten Jahren in großem Umfang rationalisiert haben, war es im Interesse künftiger hoher Zuwachsraten dringend erforderlich, auch in der Vorfertigung, einem Engpaß im Produktionsablauf, die Durchlaßfähigkeit zu erhöhen.	2
181	Engpaß	1	10-16	Als einen Engpaß der Demontage bezeichnete Minister Nölting das Problem der Verpackung der demontierten Maschinen.	2
182	Engpaß	1	53-59	"Die neue Secura-Kleinregistrierkasse überbrückt den „Engpaß"" in der Beschaffung von hochwertigen Kleinregistrierkassen, damit auch in den Ein-Mann-Verkaufsstellen, Kiosken und im ambulanten Handel eine Kontrolle durch die Registrierkassen erfolgen kann."	2
183	Engpaß	1	86-94	"So wichtig es auch ist, eine gute Organisation des Produktionsprozesses aufzubauen — „Engpässe"" ein für allemal aus der Welt zu schaffen, dazu ist sie nicht in der Lage."	2
184	Engpaß	1	74-82	Wie sonst hätten wir all die schwierigen wirtschaftlichen Probleme lösen, Engpässe überwinden, die wissenschaftlich-technische Revolution zu meistern vermocht!	2
185	Engpaß	1	110-119	Unsere Techniker versuchen immer wieder, neue, moderne Methoden anzuwenden und unsere Republik von bestimmten Engpässen	2
186	Engpaß	1	144-152	Andererseits ist es uns im vergangenen Zeitraum nicht gelungen, eine Reihe von Problemen restlos zu losen und in der Volkswirtschaft vorhandene Engpässe zu beseitigen.	2
187	Engpaß	1	18-24	Um endlich diesen Engpaß zu überwinden, haben die Handwerker des Betriebes nach einer Produktionsbesprechune In zwei Tagen 250 Förderwagen überholt.	2
188	Engpaß	1	106-115	Zehn Jugendfreunde aus dem Direktionsbereich Investitionen erklärten ihre Bereitschaft, an Wochenenden an Engpässen der Prodution bei Sonderschichten mitzuarbeiten.	2
189	Engpaß	1	42-48	Nur eine Analyse dieser Faktoren wird den Engpaß im betrieblichen Reproduktionsprozeß klar erkennen lassen.	2
190	Engpaß	1	7-13	Dieser Engpaß könne nur überwunden werden, wenn in kürzester Frist eme Wasserleitung von der Saale nach Unterwellenborn und im Werk einSO 000 cbm fassendes Wasserreservoir gebaut werden.	2
191	Engpaß	1	45-53	Auf der einen Seite ergeben sich da und dort Engpässe in der Materialversorgung, weil die Baustoffindustrie noch nicht richtig mitmarschiert.	2
192	Engpaß	1	135-143	Lkw, Bau-und Landmaschinen, Pumpstationen, Ziegeleien, Signal-und Sicherungsanlagen, kurzum Erzeugnisse, die bei der Überwindung jener Engpässe keine geringe Rolle spielen	2
214	Fuß	2	57-62	"Ein"" Jahr noch in Kleinfurra, der schmucken Ortschaft zu Füßen der Hainleite, mit der Schule und dem Internat, wo sie lernen und ihre Kulturprogramme proben. auf Christine Steus Nähmaschine farbenprächtige Kostüme für ihre Auftritte nähen, mit den deutschen Lehrlingen der Patenklasse LM llc aus der Schule Sportwettkämpfe-und Quizrunden austragen und wo sie an den Wochenenden.kochen, wie es ihre Mütter ' zu Hause tun."	2
215	Fuß	1	45-48	„Mir wurde geraten, bei dem Wetter lieber zu Fuß zu gehen!	2
216	Fuß	2	81-85	Zhz., Bad, viel Neben-Berg m. IWC, Kü. u. Spk. Wel 3061 läufern des Kaulcasus am Fuße des Berges Maschuk.	2
217	Fuß	1	137-140	Doch bei Schichtschluß verstopfen die vielen Autobusse die Straßen, die zu einer Zeit angelegt wurden, als der Bergmann kilometerweit zu Fuß zur Grube laufen mußte.	2
218	Fuß	3	11-16	selbst mit Füßen getretenen Menschenrechte ein von langer Hand vorbereitetes Trommelfeuer sondersgleichen, schafft ein Klima unsäglicher Wirrnis und verderbenibringenden Mißtrauens.	2
219	Fuß	4	150-153	Wenn wir die Ursachen für die Krise so erklären, dann können wir darauf warten, daß Revisionismus und Opportunismus im Bewußtsein der Menschen festen Fuß fassen.	2
220	Fuß	3	48-53	Die demokratischen Rechte der Bürger wurden mit Füßen getreten.	2
221	Fuß	3	249-254	Die Äußerungen des USA-Präsidenten für eine Minderung der internationalen Spannung seien nicht damit zu vereinbaren, daß amerikanische Militärstützpunkte auf fremdem Territorium bestehenbleiben, daß die USA die souveränen Rechte anderer Staaten mit Füßen treten. daß wildeewordene Politiker der USA unverfroren zu einer offenen und sogar bewaffneten Intervention in die inneren Angelegenheiten Kubas aufrufen.	2
222	Fuß	1	171-174	Aber es blieb ihm auch keine Zeit, darüber zu reflektieren; denn der Mann hinter dem Gitter erstarrte nach diesem Satz in seiner Bewegung, brachte nur langsam den rechten Fuß wieder auf die Erde, machte eine Kehrtwendung auf dem linken Absatz und blickte Frank einige-Sekunden lang forschend an.	2
223	Fuß	2	103-108	"Im Laufe von 35 Jahren wechselte sie neunmal den Standort und wurde erst Mitte des 19. Jahrhunderts zu Füßen des „Götterberges"" endlich heimisch,"	2
224	Fuß	5	3-7	Am Fuße des Sockels leuchten auf Atlas di e goldenen Sterne des Helden der Sowjetunion und des Helden der sozialistischen Arbeit. die Orden und Medaillen, die das Vaterland dem Genossen Stalan verliehen hat.	2
225	Fuß	3	246-251	Aber nicht nur in Washington, auch in Bonn erweist sich, daß die Bonner Regierung bereit ist, für die allgemeine Wiederaufrüstung und evst recht für die Atomrüstung das Selbstbestimmungsrecht des deutschen Volkes hundertfach preiszugeben und mit Füßen zu treten.	2
226	Fuß	1	32-35	Bolcla probiert mit dem rechten Fuß einen neuen, schwarzen Schuh mit flachem Absatz an.	2
227	Fuß	1	262-266	Sie schämte sich sogar des väterlichen Berufes, und hatte in der Schule einmal gelogen, ihr Vater sei in dem Badehaus an der Piischkniskaja Straße angestellt, nehme die Kleider der Kundschaft in Verwahrung und wasche den Leuten für zwei Rubel den Rücken und die Füße.	2
228	Fuß	1	42-47	Er steigt aus der Wanne, tappt auf bloßen Füßen durch die Wohnung, langweilt sich, fühlt sich vernachlässigt, wird hungrig, sucht nach Essen und findet ein halbes Huhn im Kühlschrank.	2
229	Fuß	1	24-28	Gebrechlichkeit, kranke Füße — dös genügte, um dem Tode verfallen zu sein.	2
230	Fuß	3	84-89	Sie erhoben zugleich Anklage gegen das Bonner Regime, das die Rechte der Jugend mit Füßen tritt.	2
231	Fuß	1	39-43	Der Pfad wurde immer schlechter, meine Füße fingen an zu schmerzen, und auch den andern von der Wachgruppe ging es so.	2
232	Fuß	6	88-92	Immerhin hat der für dieses Meisterstück verantwortliche Richter Dr. Schenk schon kalte Füße bekommen.	2
235	Knotenpunkt	0	241-254	Neben bereits auf der Wirtschaftskarte des Landes bekannten Zentren wie Bukarest, Ploiesti, Galati und Constanta entwickelten sich auch Städte wie Pitesti, Gheorghiu Dej, Tirgoviste, um nur einige zu nennen, rasch zu wichtigen industriellen Knotenpunkten.	2
236	Knotenpunkt	0	4-15	Ein Knotenpunkt fürs Umsteigen von einer Nachtlinie auf die andere ist beispielsweise am U-Bahnhof Maedalenenstraße in Lichtenberg, in der Bahnhof-/ Ecke Lindenstraße in Köpenick und in der Berliner/ Ecke Johannes-R. -Becher-Straße in Pankow.	2
237	Knotenpunkt	0	43-54	Sie verbinden zum Beispiel in Jakutien den Knotenpunkt Chandyga an der Straße nach Magadan mit den Buntmetallgruben des Kolyma-Beckens oder Chabarowsk im Fernen Osten mit der Hafenstadt Nikolajewsk am Amur.	2
238	Knotenpunkt	1	70-81	Wir sprechen von dem neuen Stahlwerk in Fürstenberg / Oder, das einen Knotenpunkt der Freundschaft zwischen den Völkern der Sowjetunion, gern polnischen und dem deutschen Volk sein wird.	2
239	Knotenpunkt	0	74-85	Dieses und weitere Privilegien trugen maßgeblich dazu bei, daß Poznan, am Knotenpunkt wichtiger Handelswege gelegen, im Mittelalter ein großes Zentrum des Fernhandels wurde und sein Johannismarkt zu den bekanntesten Europas zählte.	2
240	Knotenpunkt	0	146-157	Die FnrM<omhination Grün-Gelb p.-leichtert den Fahrzeugführern die Entscheidung darüber, ob sie beim Farbzeichenwechsel von Grün auf Gelb vor dem Knotenpunkt anhalten müssen oder ihn noch passieren können.	2
241	Knotenpunkt	0	106-117	Unter den neueren Betrieben ragen in der Hauptstadt Tscheboksary ein Elektroapparatewerk und im Eisenbahn-Knotenpunkt Kanasch ein Waggonreparaturbetrieb hervor.	2
242	Knotenpunkt	0	63-74	Zur Zeit entsteht dafür bei Mukatschewo in der Westukraine ein Knotenpunkt.	2
243	Knotenpunkt	0	31-42	Es ist beabsichtigt, an diesem Knotenpunkt des Krafverkehrs zwischen.	2
244	Knotenpunkt	0	137-148	In den ersten vier Apriltage gelangten allein 40000 Tonnen Eisenerze und Roheisen vom Haup thandelspartner UdSSR über diesen bedeutenden Knotenpunkt der Fre undschaftsmagistrale an die Metallurgiekombinate der Republik.	2
245	Knotenpunkt	0	308-321	So gibt es z. B. ein Projekt zum Einsatz von zwei miteinander gekoppelten Großrechenanlagen im Wertumfang von etwa 20 Millionen VM und Gesamtinvestitionskosten von 140 Millionen Mark zur automatisierten Disposition und Abrechnung des Güterfahrzeugparkes, das über Fernschreibeinnchtungen mit den wichtigsten Knotenpunkten des Bahnnetzes verbunden ist.	2
246	Knotenpunkt	0	58-71	Polizeikräfte gestiefelt und gespornt vor allen wichtigen Knotenpunkten, Bahnhöfen, Ministerien.	2
247	Knotenpunkt	0	28-39	Eine Straßenbrücke über den Knotenpunkt Edisonstraße — 423 Meter lang — wird es künftig ermöglichen, daß die Straßenbahn, die einen gesonderten Gleiskörper erhält, zügiger über die Kreuzung kommt und der Verkehr in alle Richtungen flüssiger rollen kann.	2
248	Knotenpunkt	1	332-343	Diese Werke sind ein Ausdruck dafür, daß mit der estaltung des entwickelten gesellschaftlichen Systems sich auch eine Literatur herausgebilde hat, die sich als Ganzes nunmeh r auf systemeigenen sozialöko omisehen Grundlagen entfaltet, Dieser Übergang der Literatu auf systemeigene sozialistische Gr undlagen ist ein ganz wesentl er Knotenpunkt in der Gesch te unserer sozialistischen deuts hen Nationalliteratur.	2
249	Knotenpunkt	0	187-198	Straßensperrung Wegen Durchführung von Straßenbauarbeiten auf der F96, — Greifswalder Chaussee —, Ortsdurchfahrt Stralsund, wird der Teilabschnitt von km 211,030 Andershof bis km 214,330 Knotenpunkt Werftstraße vom 26. März bis 30. Juni 1973 für den Durchgangsverkehr gesperrt außer für den a) Berufs-und Linienverkehr im öberlandverkehr, b) innerstädtischen Berufs-und Anliegerverkehr.	2
250	Knotenpunkt	0	99-112	Eine Steuerzentrale auf dem Kalvinplatz wertet die Signale von 60 Detektoren an den 16 wichtigsten Knotenpunkten der Innenstadt aus.	2
251	Knotenpunkt	1	97-109	Weil Westberlin unter den Besatzungsregimen der drei Westmachte sich zu einem der gefährlichsten Knotenpunkte und Gefahrenherde der internationalen Spannungen entwickelt hat.	2
252	Knotenpunkt	0	117-128	Das chemische Zentrum wird bei der Gemeinschaftseinrichtung der LPG und GPG in Manschnow gebaut, wo sich bereits ein Knotenpunkt der Eisenbahn befindet.	2
253	Knotenpunkt	1	77-89	Das alles führt zu einer Verstärkung der bestehenden und zum Entstehen neuer Knotenpunkte der imperialistischen Rivalität und der Konflikte, Wodurch das System des Kapitalismus Insgesamt geschwächt wird.	2
254	Knotenpunkt	0	40-53	Bahnhofsgaststätten entstanden an allen Knotenpunkten des Eisenbahnverkehrs, an den Einsatz-, Halte-und Endstationen von D-und Eil-Zügen, In allen weiteren Zentren des Berufsverkehrs, des Erholungsverkehrs und an den Grenzbahnhöfen.	2
255	Knotenpunkt	0	39-52	„sprechenden Verkehrsampeln bald allen Knotenpunkten unserer Stadt eine unentbehrliche Einrichtung sein.	2
